	freebase_ids	nominations
431	/m/03qckt2	
432	/m/04gs7qr	
433	/m/0h4yg0j	
434	/m/0gc4f1m	
435	/m/06n7sx	
436	/m/0b07mf	
437	/m/06k1vl	
438	/m/0gcxdt5	
439	/m/0gc6g9w	
440	/m/0hnhfsb	
441	/m/02k_bp8	
442	/m/0g9bgbx	
443	/m/0gghqk3	
444	/m/02qhrg	
445	/m/08lclp	
446	/m/0gghqgh	
447	/m/062f97	
448	/m/0drwr8m	
449	/m/07k8fty	
450	/m/0gghqq2	
451	/m/04ch23	
452	/m/0jt307	
453	/m/0gghqg4	
454	/m/0hnhfy5	
455	/m/0gghqqf	
456	/m/0j737dq	
457	/m/03nn2mn	
458	/m/0280xl6	
459	/m/02m09m	
460	/m/02vst7p	
461	/m/01wrv9	
462	/m/027_zc	
463	/m/077215	
464	/m/04mnrnn	
465	/m/04wwys	
466	/m/018yj6	
467	/m/06s6xv	
468	/m/018yh9	
469	/m/06zp02	
470	/m/02r_d4	
471	/m/0djhfk	
472	/m/02729k2	
473	/m/0h7_6m	
474	/m/0gcg1jr	
475	/m/02rddq9	
476	/m/0gghqnd	
477	/m/02lfns	
478	/m/0bdtfps	
479	/m/0671gz	
480	/m/0706ft	
481	/m/01lly5	
482	/m/0bby5f	
483	/m/02vd_b	
484	/m/0jzyq1	
485	/m/02l53h	
486	/m/035vrb	
487	/m/0hnhfvk	
488	/m/0j737d7	
489	/m/0gc02_z	
490	/m/026sphz	
491	/m/0gc9_ym	
492	/m/0jvfk2	
493	/m/01v2vkg	
494	/m/0gc84_g	
495	/m/0g98ym_	
496	/m/03f2lp	
497	/m/0kry2z	
498	/m/0cv895v	
499	/m/046j_1	
500	/m/0jxx3z	
501	/m/043qydf	
502	/m/0dm3107	
503	/m/0g6z952	
504	/m/0p_r5	
505	/m/05x3m9	
506	/m/0gc38lt	
507	/m/0j737d1	
508	/m/02w31nx	
509	/m/04vcdj	
510	/m/08mdtm	
511	/m/0d5trf	
512	/m/05bhjn8	
513	/m/095wc8	
514	/m/09tqx3	
515	/m/04mnrph	
516	/m/01r2q_	
517	/m/0cc9gb	
518	/m/0gghqnz	
519	/m/03pkww	
520	/m/08m038	
521	/m/01wttr1	
522	/m/0gdk2yd	
523	/m/07jr6y5	
524	/m/03rvfw	
525	/m/0g98yxd	
526	/m/0gghqlf	
527	/m/04mnrpv	
528	/m/0241wg	
529	/m/031x3g	
530	/m/05vpcc	
531	/m/01w710z	
532	/m/0gc67pm	
533	/m/07brgk	
534	/m/027_nf_	
535	/m/04vq3h	
536	/m/0dr_2h2	
537	/m/02wmbg	
538	/m/0260wtf	
539	/m/0gdkml7	
540	/m/0ksyvw	
541	/m/0gc1_pm	
542	/m/0byw7bs	
543	/m/084xvk	
544	/m/0jvfk9	
545	/m/026kp7v	
546	/m/0gghqh1	
547	/m/0gc5pyv	
548	/m/0338g8	
549	/m/0k74tf	
550	/m/01n8_g	
551	/m/0hfy630	
552	/m/06w63zt	
553	/m/0gdj__7	
554	/m/0gghqjk	
555	/m/0gcxl3v	
556	/m/0gdm00w	
557	/m/054wdyj	
558	/m/04p74f2	
559	/m/0f6rmh	
560	/m/01x0sy	
561	/m/026z6n_	
562	/m/0gbx49p	
563	/m/098vq6	
564	/m/0dkg1g	
565	/m/045hz5	
566	/m/0gbx_sk	
567	/m/02s6b7	
568	/m/02qgz42	
569	/m/0b6frgy	
570	/m/02zhkz	
571	/m/0gcxxcg	
572	/m/0gb_brf	
573	/m/01zvxq	
574	/m/0gc5kys	
575	/m/02zrgt	
576	/m/0dfjb8	
577	/m/09cztj	
578	/m/0ff37r	
579	/m/0ghgx0p	
580	/m/090x7d	
581	/m/02lq10	
582	/m/0gghqmc	
583	/m/0gghqn1	
584	/m/032y6l	
585	/m/0c5vh	
586	/m/0gghqpj	
587	/m/0gghqkp	
588	/m/0b3t4v	
589	/m/0gbqkqv	
590	/m/01sy5c	
591	/m/08lpnh	
592	/m/0j737dx	
593	/m/0bfmxbf	
594	/m/01rp3t	
595	/m/0j737dj	
596	/m/03d5tfj	
597	/m/0gghqmq	
598	/m/0273s6l	
599	/m/04bxpq	
